poi_id,osm_id,category,name,lat,lon
POI_000220,287006417,petrol_station,Estación de Servicio Disa Las Chumberas,28.458111,-16.304306
POI_000221,839472887,petrol_station,Disa,28.454667,-16.296722
POI_000222,839473308,petrol_station,Moeve Las Delicias,28.452444,-16.283444
POI_000223,839482973,petrol_station,Estación de Servicio Shell Ofra,28.454278,-16.278306
POI_000224,287006434,petrol_station,Disa Tío Pino,28.4588841,-16.2724249
POI_000225,839483898,petrol_station,Moeve,28.455028,-16.268139
POI_000226,839473552,petrol_station,BP Avenida 3 de Mayo,28.4575703,-16.2619509
POI_000227,839476253,petrol_station,Disa Tres de Mayo,28.4573801,-16.265212
POI_000228,839469411,petrol_station,Moeve Fomento,28.458541,-16.2535588
POI_000229,839484234,petrol_station,Estación La Higuerita,28.4702486,-16.296015
POI_000230,839476801,petrol_station,Shell,28.464056,-16.279417
POI_000231,839483449,petrol_station,Moeve,28.466111,-16.283778
POI_000232,839477917,petrol_station,Moeve,28.463083,-16.277056
POI_000233,923554138,petrol_station,BP,28.464734,-16.2701289
POI_000234,839471393,petrol_station,Estación de Servicio Moeve Aracayú,28.4674178,-16.2710564
POI_000235,10273495210,petrol_station,PCAN,28.4901117,-16.3495341
POI_000236,287006104,petrol_station,BP SAN BENITO,28.4861232,-16.3240912
POI_000237,287006413,petrol_station,BP,28.5098279,-16.3081417
POI_000238,797590761,petrol_station,Disa,28.5203773,-16.356893
POI_000239,287006438,petrol_station,Tgas,28.515222,-16.301889
POI_000240,287006395,petrol_station,Disa,28.4886384,-16.2316269
POI_000241,1149912447,petrol_station,Disa,28.4891191,-16.2319296
POI_000242,839489928,petrol_station,Repsol,28.4964152,-16.2086678
POI_000243,1850133021,petrol_station,DISA Bajamar,28.5523266,-16.3473504
POI_000244,10187171320,petrol_station,Petroprix,28.1208532,-15.671833
POI_000245,10187171817,petrol_station,Canary Oil,28.1212081,-15.6698815
POI_000246,12509369878,petrol_station,Repsol,28.1400838,-15.6567354
POI_000247,839484317,petrol_station,Moeve,28.141333,-15.633944
POI_000248,287006317,petrol_station,DISA GUIA,28.1427863,-15.6280178
POI_000249,287006319,petrol_station,BP GUIA,28.141444,-15.628528
POI_000250,287006313,petrol_station,Repsol,28.143746,-15.6140567
POI_000251,839468644,petrol_station,Moeve,28.118778,-15.558611
POI_000252,287005993,petrol_station,BP KM 13 - 1 (SAN ANDRES),28.1454504,-15.5608414
POI_000253,3222045923,petrol_station,H2exagon Norte,28.144947,-15.5602871
POI_000254,839472634,petrol_station,Moeve Bañaderos,28.146667,-15.533139
POI_000255,287006003,petrol_station,Moeve,28.13619,-15.48892
POI_000256,839472527,petrol_station,Moeve,28.1234264,-15.4412735
POI_000257,335685508,petrol_station,Disa Alcaravaneras,28.1333706,-15.4300028
POI_000258,839480866,petrol_station,Moeve,28.147361,-15.418833
POI_000259,839480990,petrol_station,Repsol,28.1479183,-15.4165707
POI_000260,287005938,petrol_station,Disa,28.1608973,-14.2310184
POI_000261,10576622090,petrol_station,Moeve,28.1789831,-14.1886966
POI_000262,287005944,petrol_station,Disa,28.231688,-14.1036541
POI_000263,839487330,petrol_station,Moeve,28.2150079,-14.0208449
POI_000264,287005963,petrol_station,Repsol,28.3864649,-13.8662847
POI_000265,12901632079,petrol_station,Petroprix Fuerteventura,28.4168353,-13.8638968
POI_000266,839488752,petrol_station,DISA RIO CABRAS,28.468722,-13.866806
POI_000267,6996885938,petrol_station,H2GO Repsol,28.495596,-13.8599287
POI_000268,287005966,petrol_station,PCAN Gasolinera Gil,28.5007524,-13.852423
POI_000269,287005967,petrol_station,DISA Mercasosa,28.5062403,-13.8506379
POI_000270,287005968,petrol_station,Repsol,28.5207628,-13.8460879
POI_000271,33108259,petrol_station,Disa,28.7315735,-13.8701223
POI_000272,287005972,petrol_station,Combustibles Canarios,28.8681094,-13.8315827
